OBJECTID,FULLADDRESS,BuildingName,Square,Lot,Date,MapYear,Permit_Notes,NOTES,Suffix,EDITTYPE,House_Key,House_Type,Extant,Updated,Facade,Flag,Contributing,ArchitectGroup,Developer,Quantity,Rooms,Width,Depth,Number_of_Families,Store,Stories,Permits_Last_Editor,Permits_Last_Edit_Date,RazedFlag,PermitsSource,PermitNumber,Owner,Architect,Builder,Material,Purpose,EstimatedCost,MicrofilmRoll,PermitType,SolidFilled,FoundationMaterial,StoneType,RoofType,FrontMaterial,RoofMaterial,Heat,Shape__Area,Shape__Length
4653,3813 T STREET NW,,1310,45,3/3/1930 12:00:00 AM,1930,class 3,,,,63962.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.",Cooley Bros.,9.0,0.0,0.0,0.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,130949,Cooley Bros.,"Santmyers, George T.",Cooley Bros.,brick,dwelling,75000.0,414,,,tile,,pitch & flat,,tin & slate,hot water,139.65234375,59.6270299177526
4654,3803 T STREET NW,,1310,57,3/3/1930 12:00:00 AM,1930,class 3,,,,63957.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.",Cooley Bros.,9.0,0.0,0.0,0.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,130949,Cooley Bros.,"Santmyers, George T.",Cooley Bros.,brick,dwelling,75000.0,414,,,tile,,pitch & flat,,tin & slate,hot water,163.59765625,56.2804128092287
4655,3815 T STREET NW,,1310,46,3/3/1930 12:00:00 AM,1930,class 3,,,,63963.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.",Cooley Bros.,9.0,0.0,0.0,0.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,130949,Cooley Bros.,"Santmyers, George T.",Cooley Bros.,brick,dwelling,75000.0,414,,,tile,,pitch & flat,,tin & slate,hot water,162.7421875,58.4500191030332
4656,3817 T STREET NW,,1310,47,3/3/1930 12:00:00 AM,1930,class 3,,,,63964.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.",Cooley Bros.,9.0,0.0,0.0,0.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,130949,Cooley Bros.,"Santmyers, George T.",Cooley Bros.,brick,dwelling,75000.0,414,,,tile,,pitch & flat,,tin & slate,hot water,172.0078125,59.6085087830293
4657,3801 T STREET NW,,1310,56,3/3/1930 12:00:00 AM,1930,class 3,,,,63956.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.",Cooley Bros.,9.0,0.0,0.0,0.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,130949,Cooley Bros.,"Santmyers, George T.",Cooley Bros.,brick,dwelling,75000.0,414,,,tile,,pitch & flat,,tin & slate,hot water,141.1875,54.0329657563035
4658,3811 T STREET NW,,1310,61,3/3/1930 12:00:00 AM,1930,class 3,,,,63961.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.",Cooley Bros.,9.0,0.0,0.0,0.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,130949,Cooley Bros.,"Santmyers, George T.",Cooley Bros.,brick,dwelling,75000.0,414,,,tile,,pitch & flat,,tin & slate,hot water,157.328125,55.9370333650522
4659,3805 T STREET NW,,1310,58,3/3/1930 12:00:00 AM,1930,class 3,,,,63958.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.",Cooley Bros.,9.0,0.0,0.0,0.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,130949,Cooley Bros.,"Santmyers, George T.",Cooley Bros.,brick,dwelling,75000.0,414,,,tile,,pitch & flat,,tin & slate,hot water,141.74609375,57.2526291223745
4660,3417 P STREET NW,,1253,157,,1887,,,,,,,1.0,,,,,,,,,,,,0.0,,BKRAFT,8/3/2015 3:21:34 PM,0.0,Hopkins Maps,, ,, ,,carriage house,,,,,,,,,,,279.78125,87.7555883663148
4661,3638 VAN NESS STREET NW,,1897,2,12/23/1927 12:00:00 AM,1927,plat shows 3634 & 3636,,,,31089.0,Duplex,1.0,1.0,building,0.0,,Williams (J. S.) Const. Co.,Williams (J. S.) Const. Co.,2.0,8.0,23.0,33.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,5152,Williams (J. S.) Const. Co.,Williams (J. S.) Const. Co.,Williams (J. S.) Const. Co.,brick & tile,dwelling,17000.0,369,,solid,concrete,,pitch,,slate,hot water,139.8046875,51.5532751579872
4662,4117 37TH STREET NW,,1897,1,12/23/1927 12:00:00 AM,1927,plat shows 3634 & 3636,,,,31088.0,Duplex,1.0,1.0,building,0.0,,Williams (J. S.) Const. Co.,Williams (J. S.) Const. Co.,2.0,8.0,23.0,33.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,5152,Williams (J. S.) Const. Co.,Williams (J. S.) Const. Co.,Williams (J. S.) Const. Co.,brick & tile,dwelling,17000.0,369,,solid,concrete,,pitch,,slate,hot water,139.62109375,51.6643914033944
4665,3900 WISCONSIN AVENUE NW,"Fannie Mae, Federal National Mortgage Association",1823,801,,1978,,,,,,,,,,,,,,,,,,,,,BKRAFT,4/6/2016 8:54:46 PM,0.0,Sanborn Maps,, ,, ,,0ffice,,,,,,,,,,,4525.109375,345.969737312631
4694,1614 17TH STREET NW,,155,837,7/21/1922 12:00:00 AM,1922,,,,,17097.0,,1.0,1.0,building,0.0,Yes,"White, Frank Russell (& Co.)",White (F. R.) & Foley (Chas.),1.0,0.0,59.0,80.0,,0.0,8.0,BKRAFT,10/2/2015 2:45:20 PM,0.0,DC Historical Building Permits Database,736,White (F. R.) & Foley (Chas.),"White, Frank Russell","Gore, F. H.",brick & r. c.,apartment,200000.0,225,,solid,concrete,,flat,brick & t. c.,slag,hot water,636.921875,113.781200118568
4696,5504 NEBRASKA AVENUE NW,,2024,48,9/16/1931 12:00:00 AM,1931,,,,,66499.0,Detached,1.0,1.0,building,0.0,,"McClellan, James","McClellan, James",1.0,7.0,26.0,34.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,146607,"McClellan, James","McClellan, James","McClellan, James",brick,dwelling,9000.0,457,,,brick,,pitch,,slate,hot water,170.640625,55.0434659411424
